0-1 , PLN/MWh , 111.57 , MWh , 3 465.80 , 
8-9 , PLN/MWh , 154.75 , MWh , 2 301.10 , 
9-10 , PLN/MWh , 160.36 , MWh , 2 266.20 , 
10-11 , PLN/MWh , 159.22 , MWh , 2 497.50 , 
11-12 , PLN/MWh , 162.46 , MWh , 2 456.30 , 
12-13 , PLN/MWh , 164.52 , MWh , 2 547.00 , 
13-14 , PLN/MWh , 162.13 , MWh , 2 627.10 , 
14-15 , PLN/MWh , 153.07 , MWh , 2 567.60 , 
15-16 , PLN/MWh , 150.67 , MWh , 2 448.70 , 
16-17 , PLN/MWh , 139.83 , MWh , 2 221.50 , 
17-18 , PLN/MWh , 142.18 , MWh , 2 121.40 , 
18-19 , PLN/MWh , 147.36 , MWh , 2 013.10 , 
19-20 , PLN/MWh , 152.96 , MWh , 1 988.40 , 
20-21 , PLN/MWh , 156.93 , MWh , 2 729.10 , 
21-22 , PLN/MWh , 152.95 , MWh , 2 418.70 , 
22-23 , PLN/MWh , 138.76 , MWh , 3 419.00 , 
23-24 , PLN/MWh , 127.25 , MWh , 3 179.10 , 
0-1 , PLN/MWh , 131.93 , MWh , 2 076.00 , 
1-2 , PLN/MWh , 125.00 , MWh , 2 276.70 , 
2-3 , PLN/MWh , 122.19 , MWh , 2 425.10 , 
3-4 , PLN/MWh , 122.09 , MWh , 2 429.00 , 
4-5 , PLN/MWh , 122.26 , MWh , 2 365.00 , 
5-6 , PLN/MWh , 122.28 , MWh , 2 333.70 , 
6-7 , PLN/MWh , 134.01 , MWh , 2 422.30 , 
7-8 , PLN/MWh , 147.80 , MWh , 1 811.80 , 
8-9 , PLN/MWh , 157.81 , MWh , 2 180.60 , 
9-10 , PLN/MWh , 161.13 , MWh , 2 437.10 , 
10-11 , PLN/MWh , 162.73 , MWh , 2 379.70 , 
11-12 , PLN/MWh , 171.62 , MWh , 2 554.80 , 
12-13 , PLN/MWh , 168.49 , MWh , 2 562.60 , 
13-14 , PLN/MWh , 166.23 , MWh , 2 630.90 , 
14-15 , PLN/MWh , 160.11 , MWh , 2 623.30 , 
15-16 , PLN/MWh , 156.13 , MWh , 2 589.00 , 
16-17 , PLN/MWh , 152.24 , MWh , 2 488.80 , 
17-18 , PLN/MWh , 153.67 , MWh , 2 275.90 , 
18-19 , PLN/MWh , 154.04 , MWh , 2 150.90 , 
19-20 , PLN/MWh , 156.68 , MWh , 1 872.10 , 
20-21 , PLN/MWh , 159.09 , MWh , 2 501.20 , 
21-22 , PLN/MWh , 154.68 , MWh , 2 413.30 , 
22-23 , PLN/MWh , 134.75 , MWh , 3 807.80 , 
23-24 , PLN/MWh , 128.15 , MWh , 3 441.50 , 
0-1 , PLN/MWh , 125.04 , MWh , 2 028.00 , 
1-2 , PLN/MWh , 115.66 , MWh , 1 852.30 , 
2-3 , PLN/MWh , 107.82 , MWh , 1 945.80 , 
3-4 , PLN/MWh , 106.42 , MWh , 1 983.40 , 
4-5 , PLN/MWh , 108.18 , MWh , 1 928.60 , 
5-6 , PLN/MWh , 113.85 , MWh , 1 868.80 , 
6-7 , PLN/MWh , 130.76 , MWh , 2 299.80 , 
7-8 , PLN/MWh , 145.01 , MWh , 2 119.40 , 
8-9 , PLN/MWh , 156.52 , MWh , 2 352.10 , 
9-10 , PLN/MWh , 160.23 , MWh , 2 538.10 , 
10-11 , PLN/MWh , 161.07 , MWh , 2 527.60 , 
11-12 , PLN/MWh , 165.16 , MWh , 2 618.50 , 
12-13 , PLN/MWh , 165.08 , MWh , 2 602.20 , 
13-14 , PLN/MWh , 163.13 , MWh , 2 640.20 , 
14-15 , PLN/MWh , 157.47 , MWh , 2 482.60 , 
15-16 , PLN/MWh , 156.47 , MWh , 2 420.80 , 
16-17 , PLN/MWh , 149.84 , MWh , 2 439.10 , 
17-18 , PLN/MWh , 150.53 , MWh , 2 291.50 , 
18-19 , PLN/MWh , 151.91 , MWh , 2 115.10 , 
19-20 , PLN/MWh , 156.35 , MWh , 2 042.60 , 
20-21 , PLN/MWh , 159.59 , MWh , 2 566.10 , 
21-22 , PLN/MWh , 153.38 , MWh , 2 362.60 , 
22-23 , PLN/MWh , 134.86 , MWh , 3 621.60 , 
23-24 , PLN/MWh , 126.12 , MWh , 2 578.50 , 
0-1 , PLN/MWh , 124.57 , MWh , 2 151.40 , 
1-2 , PLN/MWh , 117.79 , MWh , 2 096.00 , 
2-3 , PLN/MWh , 107.17 , MWh , 2 092.30 , 
3-4 , PLN/MWh , 106.84 , MWh , 2 050.60 , 
4-5 , PLN/MWh , 115.24 , MWh , 2 003.30 , 
5-6 , PLN/MWh , 118.40 , MWh , 2 429.40 , 
6-7 , PLN/MWh , 134.49 , MWh , 2 360.80 , 
7-8 , PLN/MWh , 154.70 , MWh , 1 954.00 , 
8-9 , PLN/MWh , 171.95 , MWh , 2 106.20 , 
9-10 , PLN/MWh , 179.09 , MWh , 2 478.60 , 
10-11 , PLN/MWh , 183.42 , MWh , 2 601.50 , 
11-12 , PLN/MWh , 186.83 , MWh , 2 883.00 , 
12-13 , PLN/MWh , 188.57 , MWh , 3 032.90 , 
13-14 , PLN/MWh , 185.88 , MWh , 2 981.80 , 
14-15 , PLN/MWh , 178.23 , MWh , 2 698.10 , 
15-16 , PLN/MWh , 171.82 , MWh , 2 732.30 , 
16-17 , PLN/MWh , 166.34 , MWh , 2 574.70 , 
17-18 , PLN/MWh , 163.44 , MWh , 2 214.90 , 
18-19 , PLN/MWh , 158.08 , MWh , 2 261.00 , 
19-20 , PLN/MWh , 160.77 , MWh , 2 195.90 , 
20-21 , PLN/MWh , 171.34 , MWh , 2 702.80 , 
21-22 , PLN/MWh , 159.25 , MWh , 2 363.80 , 
22-23 , PLN/MWh , 136.98 , MWh , 3 669.90 , 
23-24 , PLN/MWh , 127.40 , MWh , 3 128.60 , 
0-1 , PLN/MWh , 131.39 , MWh , 1 546.50 , 
1-2 , PLN/MWh , 127.00 , MWh , 1 859.70 , 
2-3 , PLN/MWh , 124.71 , MWh , 2 104.50 , 
3-4 , PLN/MWh , 123.31 , MWh , 2 176.90 , 
4-5 , PLN/MWh , 121.91 , MWh , 2 165.80 , 
5-6 , PLN/MWh , 120.38 , MWh , 2 255.00 , 
6-7 , PLN/MWh , 126.97 , MWh , 1 901.90 , 
7-8 , PLN/MWh , 134.21 , MWh , 2 166.30 , 
8-9 , PLN/MWh , 147.55 , MWh , 3 465.60 , 
9-10 , PLN/MWh , 161.40 , MWh , 3 918.70 , 
10-11 , PLN/MWh , 162.93 , MWh , 4 202.40 , 
11-12 , PLN/MWh , 163.01 , MWh , 4 280.00 , 
12-13 , PLN/MWh , 161.88 , MWh , 4 213.60 , 
13-14 , PLN/MWh , 161.61 , MWh , 4 054.80 , 
14-15 , PLN/MWh , 156.81 , MWh , 3 990.30 , 
15-16 , PLN/MWh , 156.55 , MWh , 3 844.50 , 
16-17 , PLN/MWh , 146.05 , MWh , 3 579.00 , 
17-18 , PLN/MWh , 146.36 , MWh , 3 313.00 , 
18-19 , PLN/MWh , 145.16 , MWh , 3 066.60 , 
19-20 , PLN/MWh , 144.61 , MWh , 3 185.10 , 
20-21 , PLN/MWh , 150.75 , MWh , 3 683.80 , 
21-22 , PLN/MWh , 144.96 , MWh , 3 502.90 , 
22-23 , PLN/MWh , 130.81 , MWh , 2 263.70 , 
23-24 , PLN/MWh , 123.99 , MWh , 2 608.50 , 
0-1 , PLN/MWh , 119.22 , MWh , 2 394.90 , 
1-2 , PLN/MWh , 101.31 , MWh , 2 833.20 , 
2-3 , PLN/MWh , 100.74 , MWh , 3 051.90 , 
3-4 , PLN/MWh , 100.23 , MWh , 3 106.10 , 
4-5 , PLN/MWh , 98.65 , MWh , 3 197.30 , 
5-6 , PLN/MWh , 95.86 , MWh , 3 413.50 , 
6-7 , PLN/MWh , 100.75 , MWh , 2 975.20 , 
7-8 , PLN/MWh , 118.93 , MWh , 2 436.40 , 
8-9 , PLN/MWh , 127.65 , MWh , 2 281.50 , 
9-10 , PLN/MWh , 134.46 , MWh , 2 467.90 , 
10-11 , PLN/MWh , 138.02 , MWh , 2 757.40 , 
11-12 , PLN/MWh , 139.68 , MWh , 2 732.50 , 
12-13 , PLN/MWh , 139.96 , MWh , 2 576.00 , 
13-14 , PLN/MWh , 138.30 , MWh , 2 466.80 , 
14-15 , PLN/MWh , 136.55 , MWh , 2 478.70 , 
15-16 , PLN/MWh , 133.54 , MWh , 2 212.20 , 
16-17 , PLN/MWh , 134.28 , MWh , 2 209.80 , 
17-18 , PLN/MWh , 133.92 , MWh , 2 231.20 , 
18-19 , PLN/MWh , 134.14 , MWh , 2 265.10 , 
19-20 , PLN/MWh , 138.18 , MWh , 2 558.10 , 
20-21 , PLN/MWh , 143.12 , MWh , 2 976.90 , 
21-22 , PLN/MWh , 141.34 , MWh , 2 890.90 , 
22-23 , PLN/MWh , 132.68 , MWh , 2 577.20 , 
23-24 , PLN/MWh , 122.98 , MWh , 2 881.00 , 
0-1 , PLN/MWh , 110.01 , MWh , 2 458.70 , 
1-2 , PLN/MWh , 100.09 , MWh , 2 685.80 , 
2-3 , PLN/MWh , 98.79 , MWh , 2 988.80 , 
3-4 , PLN/MWh , 98.82 , MWh , 2 954.30 , 
4-5 , PLN/MWh , 99.19 , MWh , 2 934.30 , 
5-6 , PLN/MWh , 110.03 , MWh , 2 869.80 , 
6-7 , PLN/MWh , 130.62 , MWh , 1 777.70 , 
7-8 , PLN/MWh , 142.46 , MWh , 2 604.60 , 
8-9 , PLN/MWh , 164.73 , MWh , 1 966.70 , 
9-10 , PLN/MWh , 174.48 , MWh , 2 059.30 , 
10-11 , PLN/MWh , 185.55 , MWh , 2 229.30 , 
11-12 , PLN/MWh , 190.64 , MWh , 2 536.30 , 
12-13 , PLN/MWh , 190.55 , MWh , 2 615.50 , 
13-14 , PLN/MWh , 191.15 , MWh , 2 719.80 , 
14-15 , PLN/MWh , 183.48 , MWh , 2 356.60 , 
15-16 , PLN/MWh , 174.48 , MWh , 2 114.90 , 
16-17 , PLN/MWh , 164.55 , MWh , 2 112.90 , 
17-18 , PLN/MWh , 163.31 , MWh , 1 989.10 , 
18-19 , PLN/MWh , 161.38 , MWh , 2 026.30 , 
19-20 , PLN/MWh , 164.17 , MWh , 2 015.70 , 
20-21 , PLN/MWh , 187.47 , MWh , 2 973.40 , 
21-22 , PLN/MWh , 160.79 , MWh , 2 239.60 , 
22-23 , PLN/MWh , 139.18 , MWh , 3 537.40 , 
23-24 , PLN/MWh , 126.87 , MWh , 2 649.70 , 
0-1 , PLN/MWh , 130.82 , MWh , 1 694.50 , 
1-2 , PLN/MWh , 125.79 , MWh , 1 751.90 , 
2-3 , PLN/MWh , 116.39 , MWh , 1 664.30 , 
3-4 , PLN/MWh , 116.60 , MWh , 1 667.60 , 
4-5 , PLN/MWh , 121.99 , MWh , 1 674.80 , 
5-6 , PLN/MWh , 125.82 , MWh , 1 739.20 , 
6-7 , PLN/MWh , 136.91 , MWh , 2 242.70 , 
7-8 , PLN/MWh , 161.53 , MWh , 2 277.00 , 
8-9 , PLN/MWh , 182.74 , MWh , 2 455.30 , 
9-10 , PLN/MWh , 188.38 , MWh , 2 731.60 , 
10-11 , PLN/MWh , 190.51 , MWh , 2 843.30 , 
11-12 , PLN/MWh , 192.88 , MWh , 3 013.20 , 
12-13 , PLN/MWh , 193.28 , MWh , 3 165.90 , 
13-14 , PLN/MWh , 192.19 , MWh , 3 083.00 , 
14-15 , PLN/MWh , 190.49 , MWh , 2 733.40 , 
15-16 , PLN/MWh , 177.95 , MWh , 2 574.50 , 
16-17 , PLN/MWh , 167.95 , MWh , 2 346.60 , 
17-18 , PLN/MWh , 168.33 , MWh , 2 063.40 , 
18-19 , PLN/MWh , 167.54 , MWh , 2 290.20 , 
19-20 , PLN/MWh , 172.39 , MWh , 2 253.40 , 
20-21 , PLN/MWh , 186.70 , MWh , 3 110.80 , 
21-22 , PLN/MWh , 168.22 , MWh , 2 275.60 , 
22-23 , PLN/MWh , 145.11 , MWh , 3 343.30 , 
23-24 , PLN/MWh , 127.91 , MWh , 3 047.80 , 
0-1 , PLN/MWh , 130.60 , MWh , 2 134.30 , 
1-2 , PLN/MWh , 123.38 , MWh , 2 005.30 , 
2-3 , PLN/MWh , 118.15 , MWh , 1 911.60 , 
3-4 , PLN/MWh , 119.59 , MWh , 1 911.70 , 
4-5 , PLN/MWh , 121.68 , MWh , 1 945.00 , 
5-6 , PLN/MWh , 122.78 , MWh , 2 237.10 , 
6-7 , PLN/MWh , 138.12 , MWh , 2 715.60 , 
7-8 , PLN/MWh , 162.15 , MWh , 2 568.80 , 
8-9 , PLN/MWh , 179.30 , MWh , 2 450.20 , 
9-10 , PLN/MWh , 190.70 , MWh , 2 549.80 , 
10-11 , PLN/MWh , 192.67 , MWh , 2 686.50 , 
11-12 , PLN/MWh , 194.28 , MWh , 2 846.20 , 
12-13 , PLN/MWh , 193.83 , MWh , 3 067.00 , 
13-14 , PLN/MWh , 191.57 , MWh , 3 014.20 , 
14-15 , PLN/MWh , 189.79 , MWh , 2 850.10 , 
15-16 , PLN/MWh , 181.14 , MWh , 2 825.70 , 
16-17 , PLN/MWh , 167.49 , MWh , 2 611.00 , 
17-18 , PLN/MWh , 166.32 , MWh , 2 317.30 , 
18-19 , PLN/MWh , 167.00 , MWh , 2 263.80 , 
19-20 , PLN/MWh , 170.33 , MWh , 2 360.90 , 
20-21 , PLN/MWh , 180.75 , MWh , 3 287.00 , 
21-22 , PLN/MWh , 161.86 , MWh , 2 565.70 , 
22-23 , PLN/MWh , 140.35 , MWh , 4 151.80 , 
23-24 , PLN/MWh , 128.80 , MWh , 3 273.40 , 
0-1 , PLN/MWh , 128.77 , MWh , 1 703.30 , 
1-2 , PLN/MWh , 118.06 , MWh , 1 364.40 , 
2-3 , PLN/MWh , 107.87 , MWh , 1 276.70 , 
3-4 , PLN/MWh , 106.63 , MWh , 1 259.30 , 
4-5 , PLN/MWh , 114.72 , MWh , 1 210.00 , 
5-6 , PLN/MWh , 115.90 , MWh , 1 312.30 , 
6-7 , PLN/MWh , 132.19 , MWh , 2 134.60 , 
7-8 , PLN/MWh , 155.92 , MWh , 2 099.00 , 
8-9 , PLN/MWh , 171.21 , MWh , 2 488.40 , 
9-10 , PLN/MWh , 183.51 , MWh , 3 288.00 , 
10-11 , PLN/MWh , 187.80 , MWh , 3 316.30 , 
11-12 , PLN/MWh , 191.07 , MWh , 3 591.90 , 
12-13 , PLN/MWh , 191.00 , MWh , 3 617.10 , 
13-14 , PLN/MWh , 191.96 , MWh , 3 592.00 , 
14-15 , PLN/MWh , 183.51 , MWh , 3 272.60 , 
15-16 , PLN/MWh , 172.99 , MWh , 3 052.00 , 
16-17 , PLN/MWh , 165.34 , MWh , 2 859.20 , 
17-18 , PLN/MWh , 162.23 , MWh , 2 572.20 , 
18-19 , PLN/MWh , 162.42 , MWh , 2 324.90 , 
19-20 , PLN/MWh , 167.58 , MWh , 2 178.90 , 
20-21 , PLN/MWh , 169.57 , MWh , 2 985.60 , 
21-22 , PLN/MWh , 155.74 , MWh , 2 113.00 , 
22-23 , PLN/MWh , 131.66 , MWh , 3 155.40 , 
23-24 , PLN/MWh , 120.91 , MWh , 2 541.20 , 
0-1 , PLN/MWh , 120.16 , MWh , 1 318.30 , 
1-2 , PLN/MWh , 98.80 , MWh , 1 705.70 , 
2-3 , PLN/MWh , 96.21 , MWh , 1 969.00 , 
3-4 , PLN/MWh , 96.30 , MWh , 1 910.40 , 
4-5 , PLN/MWh , 98.70 , MWh , 1 759.30 , 
5-6 , PLN/MWh , 101.88 , MWh , 1 564.00 , 
6-7 , PLN/MWh , 130.56 , MWh , 1 639.50 , 
7-8 , PLN/MWh , 146.27 , MWh , 2 421.40 , 
8-9 , PLN/MWh , 165.68 , MWh , 2 303.90 , 
9-10 , PLN/MWh , 185.23 , MWh , 2 889.90 , 
10-11 , PLN/MWh , 186.16 , MWh , 2 941.40 , 
11-12 , PLN/MWh , 189.25 , MWh , 3 243.60 , 
12-13 , PLN/MWh , 186.89 , MWh , 3 115.30 , 
13-14 , PLN/MWh , 182.57 , MWh , 3 052.40 , 
14-15 , PLN/MWh , 172.61 , MWh , 3 056.20 , 
15-16 , PLN/MWh , 167.82 , MWh , 2 810.00 , 
16-17 , PLN/MWh , 153.36 , MWh , 2 873.70 , 
17-18 , PLN/MWh , 153.28 , MWh , 2 610.30 , 
18-19 , PLN/MWh , 153.89 , MWh , 2 706.40 , 
19-20 , PLN/MWh , 156.46 , MWh , 2 725.30 , 
20-21 , PLN/MWh , 161.02 , MWh , 3 171.70 , 
21-22 , PLN/MWh , 148.97 , MWh , 3 032.40 , 
22-23 , PLN/MWh , 130.17 , MWh , 2 973.60 , 
23-24 , PLN/MWh , 120.14 , MWh , 2 658.90 , 
0-1 , PLN/MWh , 126.05 , MWh , 2 324.30 , 
1-2 , PLN/MWh , 121.22 , MWh , 2 452.90 , 
2-3 , PLN/MWh , 116.16 , MWh , 2 457.20 , 
3-4 , PLN/MWh , 112.20 , MWh , 2 536.00 , 
4-5 , PLN/MWh , 114.12 , MWh , 2 448.80 , 
5-6 , PLN/MWh , 110.02 , MWh , 2 539.00 , 
6-7 , PLN/MWh , 124.90 , MWh , 2 481.30 , 
7-8 , PLN/MWh , 135.62 , MWh , 2 580.70 , 
8-9 , PLN/MWh , 150.22 , MWh , 3 748.10 , 
9-10 , PLN/MWh , 164.08 , MWh , 4 351.80 , 
10-11 , PLN/MWh , 166.68 , MWh , 4 735.50 , 
11-12 , PLN/MWh , 168.35 , MWh , 4 839.20 , 
12-13 , PLN/MWh , 167.61 , MWh , 4 779.40 , 
13-14 , PLN/MWh , 164.44 , MWh , 4 572.90 , 
14-15 , PLN/MWh , 163.03 , MWh , 4 290.90 , 
15-16 , PLN/MWh , 156.33 , MWh , 4 253.80 , 
16-17 , PLN/MWh , 145.76 , MWh , 3 935.40 , 
17-18 , PLN/MWh , 145.78 , MWh , 3 779.20 , 
18-19 , PLN/MWh , 146.46 , MWh , 3 705.90 , 
19-20 , PLN/MWh , 148.14 , MWh , 3 720.10 , 
20-21 , PLN/MWh , 162.50 , MWh , 4 544.30 , 
21-22 , PLN/MWh , 145.99 , MWh , 4 120.40 , 
22-23 , PLN/MWh , 132.27 , MWh , 2 678.40 , 
23-24 , PLN/MWh , 121.12 , MWh , 3 232.30 , 
0-1 , PLN/MWh , 129.13 , MWh , 2 062.90 , 
1-2 , PLN/MWh , 121.86 , MWh , 2 220.30 , 
2-3 , PLN/MWh , 119.79 , MWh , 2 478.70 , 
3-4 , PLN/MWh , 117.56 , MWh , 2 529.40 , 
4-5 , PLN/MWh , 106.75 , MWh , 2 414.40 , 
5-6 , PLN/MWh , 95.67 , MWh , 2 565.80 , 
6-7 , PLN/MWh , 119.60 , MWh , 2 646.90 , 
7-8 , PLN/MWh , 126.36 , MWh , 2 253.90 , 
8-9 , PLN/MWh , 132.26 , MWh , 2 073.80 , 
9-10 , PLN/MWh , 137.67 , MWh , 2 163.30 , 
10-11 , PLN/MWh , 147.00 , MWh , 2 672.60 , 
11-12 , PLN/MWh , 151.96 , MWh , 2 881.40 , 
12-13 , PLN/MWh , 154.45 , MWh , 2 882.00 , 
13-14 , PLN/MWh , 152.23 , MWh , 2 868.10 , 
14-15 , PLN/MWh , 141.28 , MWh , 2 701.80 , 
15-16 , PLN/MWh , 137.15 , MWh , 2 450.50 , 
16-17 , PLN/MWh , 134.84 , MWh , 2 270.90 , 
17-18 , PLN/MWh , 131.80 , MWh , 2 071.70 , 
18-19 , PLN/MWh , 132.12 , MWh , 2 104.60 , 
19-20 , PLN/MWh , 141.17 , MWh , 2 186.60 , 
20-21 , PLN/MWh , 146.40 , MWh , 2 380.70 , 
21-22 , PLN/MWh , 140.37 , MWh , 2 104.50 , 
22-23 , PLN/MWh , 128.90 , MWh , 1 949.30 , 
23-24 , PLN/MWh , 115.60 , MWh , 3 376.60 , 
0-1 , PLN/MWh , 109.26 , MWh , 2 722.30 , 
1-2 , PLN/MWh , 96.87 , MWh , 3 138.90 , 
2-3 , PLN/MWh , 93.99 , MWh , 3 249.40 , 
3-4 , PLN/MWh , 92.62 , MWh , 3 313.40 , 
4-5 , PLN/MWh , 94.72 , MWh , 3 242.60 , 
5-6 , PLN/MWh , 99.00 , MWh , 2 948.30 , 
6-7 , PLN/MWh , 124.98 , MWh , 2 243.90 , 
7-8 , PLN/MWh , 136.44 , MWh , 2 778.60 , 
8-9 , PLN/MWh , 159.19 , MWh , 2 047.80 , 
9-10 , PLN/MWh , 162.01 , MWh , 2 424.40 , 
10-11 , PLN/MWh , 161.74 , MWh , 2 514.60 , 
11-12 , PLN/MWh , 163.56 , MWh , 2 646.50 , 
12-13 , PLN/MWh , 164.74 , MWh , 2 565.10 , 
13-14 , PLN/MWh , 165.95 , MWh , 2 635.70 , 
14-15 , PLN/MWh , 158.79 , MWh , 2 632.30 , 
15-16 , PLN/MWh , 155.73 , MWh , 2 935.20 , 
16-17 , PLN/MWh , 144.64 , MWh , 2 676.50 , 
17-18 , PLN/MWh , 142.49 , MWh , 2 435.10 , 
18-19 , PLN/MWh , 145.44 , MWh , 2 367.30 , 
19-20 , PLN/MWh , 156.45 , MWh , 2 558.10 , 
20-21 , PLN/MWh , 167.24 , MWh , 3 215.50 , 
21-22 , PLN/MWh , 147.51 , MWh , 2 605.90 , 
22-23 , PLN/MWh , 128.68 , MWh , 3 214.90 , 
23-24 , PLN/MWh , 117.03 , MWh , 3 037.60 , 
0-1 , PLN/MWh , 118.55 , MWh , 2 108.60 , 
1-2 , PLN/MWh , 108.32 , MWh , 2 305.30 , 
2-3 , PLN/MWh , 100.46 , MWh , 2 557.20 , 
3-4 , PLN/MWh , 100.39 , MWh , 2 576.90 , 
4-5 , PLN/MWh , 100.30 , MWh , 2 498.60 , 
5-6 , PLN/MWh , 109.22 , MWh , 2 438.00 , 
6-7 , PLN/MWh , 129.69 , MWh , 2 483.30 , 
7-8 , PLN/MWh , 138.99 , MWh , 2 947.10 , 
8-9 , PLN/MWh , 158.70 , MWh , 2 610.30 , 
9-10 , PLN/MWh , 160.09 , MWh , 2 414.60 , 
10-11 , PLN/MWh , 160.40 , MWh , 2 529.70 , 
11-12 , PLN/MWh , 162.14 , MWh , 2 699.20 , 
12-13 , PLN/MWh , 166.27 , MWh , 2 828.50 , 
13-14 , PLN/MWh , 167.77 , MWh , 2 933.30 , 
14-15 , PLN/MWh , 161.00 , MWh , 2 600.70 , 
15-16 , PLN/MWh , 158.35 , MWh , 2 774.80 , 
16-17 , PLN/MWh , 152.70 , MWh , 3 041.10 , 
17-18 , PLN/MWh , 158.85 , MWh , 2 808.70 , 
18-19 , PLN/MWh , 164.14 , MWh , 2 691.60 , 
19-20 , PLN/MWh , 172.14 , MWh , 2 407.50 , 
20-21 , PLN/MWh , 184.03 , MWh , 2 942.10 , 
21-22 , PLN/MWh , 165.87 , MWh , 2 678.90 , 
22-23 , PLN/MWh , 144.62 , MWh , 3 841.80 , 
23-24 , PLN/MWh , 128.03 , MWh , 3 360.60 , 
0-1 , PLN/MWh , 128.16 , MWh , 2 227.50 , 
1-2 , PLN/MWh , 122.01 , MWh , 2 442.70 , 
2-3 , PLN/MWh , 116.79 , MWh , 2 271.30 , 
3-4 , PLN/MWh , 117.24 , MWh , 2 243.10 , 
4-5 , PLN/MWh , 122.30 , MWh , 2 414.20 , 
5-6 , PLN/MWh , 127.75 , MWh , 2 437.40 , 
6-7 , PLN/MWh , 146.83 , MWh , 2 771.50 , 
7-8 , PLN/MWh , 171.66 , MWh , 2 598.80 , 
8-9 , PLN/MWh , 192.06 , MWh , 2 732.40 , 
9-10 , PLN/MWh , 200.73 , MWh , 3 070.20 , 
10-11 , PLN/MWh , 200.82 , MWh , 3 080.30 , 
11-12 , PLN/MWh , 204.69 , MWh , 3 424.70 , 
12-13 , PLN/MWh , 207.03 , MWh , 3 454.90 , 
13-14 , PLN/MWh , 200.96 , MWh , 3 671.90 , 
14-15 , PLN/MWh , 198.53 , MWh , 3 456.20 , 
15-16 , PLN/MWh , 196.13 , MWh , 3 372.40 , 
16-17 , PLN/MWh , 186.72 , MWh , 3 070.90 , 
17-18 , PLN/MWh , 177.08 , MWh , 2 880.00 , 
18-19 , PLN/MWh , 177.30 , MWh , 2 947.80 , 
19-20 , PLN/MWh , 184.96 , MWh , 2 731.10 , 
20-21 , PLN/MWh , 199.00 , MWh , 3 664.00 , 
21-22 , PLN/MWh , 169.41 , MWh , 3 054.10 , 
22-23 , PLN/MWh , 142.41 , MWh , 4 139.90 , 
23-24 , PLN/MWh , 126.89 , MWh , 3 591.80 , 
0-1 , PLN/MWh , 127.04 , MWh , 2 340.00 , 
1-2 , PLN/MWh , 122.30 , MWh , 2 420.00 , 
2-3 , PLN/MWh , 120.61 , MWh , 2 294.50 , 
3-4 , PLN/MWh , 121.95 , MWh , 2 391.30 , 
4-5 , PLN/MWh , 122.19 , MWh , 2 452.50 , 
5-6 , PLN/MWh , 126.81 , MWh , 2 440.30 , 
6-7 , PLN/MWh , 143.40 , MWh , 2 649.60 , 
7-8 , PLN/MWh , 161.97 , MWh , 2 772.40 , 
8-9 , PLN/MWh , 180.18 , MWh , 2 656.40 , 
9-10 , PLN/MWh , 181.42 , MWh , 2 935.70 , 
10-11 , PLN/MWh , 184.25 , MWh , 2 975.60 , 
11-12 , PLN/MWh , 196.15 , MWh , 3 441.50 , 
12-13 , PLN/MWh , 193.08 , MWh , 3 350.20 , 
13-14 , PLN/MWh , 190.21 , MWh , 3 300.30 , 
14-15 , PLN/MWh , 171.71 , MWh , 3 107.90 , 
15-16 , PLN/MWh , 160.29 , MWh , 3 038.10 , 
16-17 , PLN/MWh , 161.59 , MWh , 2 889.90 , 
17-18 , PLN/MWh , 159.85 , MWh , 2 843.10 , 
18-19 , PLN/MWh , 163.60 , MWh , 2 725.00 , 
19-20 , PLN/MWh , 170.59 , MWh , 2 853.60 , 
20-21 , PLN/MWh , 189.78 , MWh , 3 546.10 , 
21-22 , PLN/MWh , 162.18 , MWh , 3 118.30 , 
22-23 , PLN/MWh , 142.77 , MWh , 4 550.60 , 
23-24 , PLN/MWh , 126.68 , MWh , 3 739.00 , 
0-1 , PLN/MWh , 124.81 , MWh , 2 335.70 , 
1-2 , PLN/MWh , 119.24 , MWh , 2 309.00 , 
2-3 , PLN/MWh , 117.74 , MWh , 2 137.00 , 
3-4 , PLN/MWh , 117.76 , MWh , 2 127.10 , 
4-5 , PLN/MWh , 119.27 , MWh , 2 275.00 , 
5-6 , PLN/MWh , 124.42 , MWh , 2 405.00 , 
6-7 , PLN/MWh , 134.83 , MWh , 2 453.00 , 
7-8 , PLN/MWh , 165.32 , MWh , 2 254.10 , 
8-9 , PLN/MWh , 176.87 , MWh , 2 402.00 , 
9-10 , PLN/MWh , 178.20 , MWh , 2 639.10 , 
10-11 , PLN/MWh , 181.34 , MWh , 2 731.60 , 
11-12 , PLN/MWh , 183.84 , MWh , 3 043.00 , 
12-13 , PLN/MWh , 186.47 , MWh , 2 979.30 , 
13-14 , PLN/MWh , 187.90 , MWh , 3 008.90 , 
14-15 , PLN/MWh , 164.80 , MWh , 2 974.00 , 
15-16 , PLN/MWh , 167.89 , MWh , 3 178.20 , 
16-17 , PLN/MWh , 166.57 , MWh , 2 776.80 , 
17-18 , PLN/MWh , 166.75 , MWh , 2 789.30 , 
18-19 , PLN/MWh , 169.58 , MWh , 2 514.90 , 
19-20 , PLN/MWh , 178.25 , MWh , 2 864.20 , 
20-21 , PLN/MWh , 196.42 , MWh , 3 329.00 , 
21-22 , PLN/MWh , 163.11 , MWh , 3 021.30 , 
22-23 , PLN/MWh , 134.57 , MWh , 4 045.90 , 
